Ref,Val,Package,PosX,PosY,Rot,Side
"U2","MCP2562FD_CAN_A_3V3_IO","SOIC-8_3.9x4.9mm_P1.27mm",131.025000,-34.095000,90.000000,bottom
"U3","MCP2562FD_CAN_B_3V3_IO","SOIC-8_3.9x4.9mm_P1.27mm",131.525000,-57.095000,180.000000,bottom
"U4","TLIN1029DRQ1_LIN_3V3_LOGIC","SOIC-8_3.9x4.9mm_P1.27mm",131.525000,-82.095000,-90.000000,bottom
"U6","MCP2518FD_A_SOIC14","SOIC-14_3.9x8.7mm_P1.27mm",192.000000,-24.000000,180.000000,bottom
"U7","MCP2518FD_B_SOIC14","SOIC-14_3.9x8.7mm_P1.27mm",192.000000,-62.000000,180.000000,bottom
"C1","100uF_50V_INPUT","CP_Radial_D8.0mm_P3.50mm",18.000000,-96.000000,0.000000,top
"C2","100nF_50V_INPUT","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",26.000000,-88.000000,0.000000,top
"C3","330uF_16V_OUTPUT_LOW_ESR","CP_Radial_D8.0mm_P3.50mm",72.000000,-96.000000,0.000000,top
"C4","100nF_16V_OUTPUT","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",72.000000,-84.000000,0.000000,top
"C5","100nF_CAN_A_DECOUPLING","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.000000,-18.000000,0.000000,top
"C6","100nF_CAN_B_DECOUPLING","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.000000,-39.000000,0.000000,top
"C7","100nF_LIN_DECOUPLING","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.000000,-64.000000,0.000000,top
"C8","22pF_Y1_OSC1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",214.000000,-24.037500,90.000000,top
"C9","22pF_Y1_OSC2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",205.962500,-18.000000,0.000000,top
"C10","22pF_Y2_OSC1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",206.000000,-56.000000,90.000000,top
"C11","22pF_Y2_OSC2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",205.000000,-69.462500,-90.000000,top
"C12","100nF_U6_VDD","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.000000,-24.000000,90.000000,top
"C13","100nF_U7_VDD","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.000000,-62.000000,-90.000000,top
"D1","SMBJ24CA_TVS_12V","D_SMA",24.000000,-80.000000,0.000000,top
"D2","SS34_BUCK_SCHOTTKY","D_SMA",56.000000,-98.000000,0.000000,top
"F1","POLYFUSE_500mA","Fuse_1206_3216Metric",30.000000,-72.000000,0.000000,top
"J1","OBD2_PIGTAIL_16_WIRE_SOLDER_PADS","OBD2_PigtailPads_Manufacturing",0.000000,0.000000,0.000000,top
"J2","AUX_HEADER","PinHeader_1x08_P2.54mm_Vertical",158.000000,-62.000000,0.000000,top
"L1","33uH_3A_BUCK_INDUCTOR","L_Radial_D8.7mm_P5.00mm_Fastron_07HCP",58.000000,-88.000000,0.000000,top
"R1","10k_LIN_RX_PULLUP","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.000000,-58.000000,0.000000,top
"SW1","CAN_NORMAL_CROSS_DIP_8POS","SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm",55.000000,-13.000000,0.000000,top
"SW2","LIN_K_SOURCE_DIP_8POS_SELECT_ONE","SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm",55.000000,-52.000000,0.000000,top
"U1","TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED","Teensy_4.1_MainHeaders_PJRC_Audited",154.240000,88.420000,-90.000000,top
"U5","LM2596S-5.0_BUCK","TO-263-5_TabPin3",42.000000,-88.000000,0.000000,top
"Y1","40MHz_3225_VERIFY_CL","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",206.000000,-24.000000,90.000000,top
"Y2","40MHz_3225_VERIFY_CL","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",206.000000,-62.000000,90.000000,top
